City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Tuatapere,NZ,2022-02-05 19:06:56,-46.1333,167.6833,50.83,84,100,2.46
178,Zeya,RU,2022-02-05 19:07:56,53.75,127.2667,-2.99,86,98,4.23
179,Tsogni,GA,2022-02-05 19:07:57,-2.7942,10.0988,76.19,85,10,6.35
180,Broome,US,2022-02-05 19:07:57,42.2506,-75.833,20.21,66,0,4.0
181,Koslan,RU,2022-02-05 19:07:57,63.4564,48.8989,-2.58,100,90,4.65
182,Biltine,TD,2022-02-05 19:07:57,14.5333,20.9167,69.37,14,5,18.77
183,Nikolskoye,RU,2022-02-05 19:00:13,59.7035,30.7861,27.88,94,100,9.95
184,Acajutla,SV,2022-02-05 19:07:58,13.5928,-89.8275,87.8,45,0,5.01
185,Ust-Omchug,RU,2022-02-05 19:07:58,61.15,149.6333,-25.13,85,75,4.07
186,Elk River,US,2022-02-05 19:03:55,45.3038,-93.5672,16.95,61,100,1.01
187,Mahad,IN,2022-02-05 19:07:58,18.0833,73.4167,66.72,77,5,2.13
188,Mareeba,AU,2022-02-05 19:07:58,-17.0,145.4333,71.44,95,99,1.88
189,Lasa,IT,2022-02-05 19:07:59,46.6166,10.7002,37.69,60,3,4.56
190,Shache,CN,2022-02-05 19:07:59,38.4167,77.2406,24.98,58,99,4.32
191,Takoradi,GH,2022-02-05 19:07:59,4.8845,-1.7554,80.8,81,12,10.76
192,Cabo San Lucas,MX,2022-02-05 19:03:59,22.8909,-109.9124,74.61,59,0,1.99
193,Mackay,AU,2022-02-05 19:07:59,-21.15,149.2,74.68,75,38,18.66
194,San Ignacio,BZ,2022-02-05 19:08:00,17.1561,-89.0714,71.76,94,100,3.02
195,Siguiri,GN,2022-02-05 19:08:00,11.6667,-9.5,82.94,10,3,3.42
196,Francavilla Fontana,IT,2022-02-05 19:08:00,40.5306,17.5852,55.58,74,99,4.9
197,Husavik,IS,2022-02-05 19:03:05,66.0449,-17.3389,29.41,96,100,27.11
198,Maromitsa,RU,2022-02-05 19:08:00,59.8683,48.0123,8.71,97,96,6.31
199,Swidnik,PL,2022-02-05 19:08:01,51.219,22.6962,33.69,94,0,12.66
200,Waw,SS,2022-02-05 19:08:01,7.7029,27.9953,77.94,18,100,5.32
201,Sao Gabriel Da Cachoeira,BR,2022-02-05 19:08:01,-0.1303,-67.0892,76.8,87,100,2.28
202,Constitucion,CL,2022-02-05 19:01:06,-35.3333,-72.4167,71.51,55,7,17.07
203,Nantucket,US,2022-02-05 19:03:11,41.2835,-70.0995,28.96,66,20,19.57
204,Quatre Cocos,MU,2022-02-05 19:08:02,-20.2078,57.7625,80.1,84,100,18.23
205,Balkanabat,TM,2022-02-05 19:08:02,39.5108,54.3671,41.88,83,87,13.89
206,Vanimo,PG,2022-02-05 19:07:46,-2.6741,141.3028,77.67,87,98,5.97
207,Fallon,US,2022-02-05 19:08:01,39.4735,-118.7774,46.92,44,98,2.46
208,Shumskiy,RU,2022-02-05 19:08:02,54.8318,99.1328,25.54,74,100,5.3
209,Lazaro Cardenas,MX,2022-02-05 19:08:03,17.9583,-102.2,82.96,51,0,7.67
210,Cidreira,BR,2022-02-05 19:08:03,-30.1811,-50.2056,73.99,94,100,8.93
211,Umm Kaddadah,SD,2022-02-05 19:08:03,13.6017,26.6876,61.16,18,100,15.82
212,Gloversville,US,2022-02-05 19:06:20,43.0528,-74.3438,20.55,67,40,5.01
213,Bucerias,MX,2022-02-05 19:08:03,20.75,-105.3333,76.98,65,75,2.3
214,Seymchan,RU,2022-02-05 19:01:02,62.8833,152.4333,-42.93,100,73,1.32
215,Nioro,GM,2022-02-05 19:08:04,13.35,-15.75,91.99,8,1,6.08
216,Mahon,ES,2022-02-05 19:08:04,39.8885,4.2658,52.36,82,40,3.44
217,Souillac,MU,2022-02-05 19:08:04,-20.5167,57.5167,80.37,85,100,16.67
218,Magadi,IN,2022-02-05 19:08:05,12.9667,77.2333,68.34,64,95,6.44
219,Mount Gambier,AU,2022-02-05 19:08:05,-37.8333,140.7667,57.31,79,69,6.64
220,Lebu,CL,2022-02-05 19:08:05,-37.6167,-73.65,64.22,68,0,20.09
221,Mar Del Plata,AR,2022-02-05 19:02:12,-38.0023,-57.5575,64.42,97,100,5.01
222,Bambous Virieux,MU,2022-02-05 19:01:10,-20.3428,57.7575,80.22,84,100,19.04
223,Wyndham,US,2022-02-05 19:09:06,37.6985,-77.6125,40.03,39,0,1.99
224,Kamenka,RU,2022-02-05 19:09:06,51.3223,42.7678,7.14,97,82,8.59
225,Caldwell,US,2022-02-05 19:08:58,43.6629,-116.6874,35.91,75,0,5.75
226,Petropavlovsk-Kamchatskiy,RU,2022-02-05 19:09:06,53.0452,158.6483,16.39,62,0,11.18
227,Nishihara,JP,2022-02-05 19:09:06,26.1842,127.7558,56.48,62,75,19.57
228,Adrar,MR,2022-02-05 19:09:07,20.5022,-10.0711,72.72,7,0,8.63
229,Ponta Pora,BR,2022-02-05 19:09:07,-22.5361,-55.7256,81.68,64,74,9.28
230,Jieshi,CN,2022-02-05 19:09:07,22.8134,115.8257,56.95,79,100,19.04
