City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Monte Patria,CL,2022-02-05 01:33:08,-30.6919,-70.9467,72.93,44,0,2.28,clear sky
167,Khatanga,RU,2022-02-05 01:33:08,71.9667,102.5,-35.9,100,87,2.66,overcast clouds
168,Klaksvik,FO,2022-02-05 01:33:09,62.2266,-6.589,36.52,54,96,23.87,overcast clouds
169,Upernavik,GL,2022-02-05 01:33:09,72.7868,-56.1549,2.25,97,100,10.54,overcast clouds
170,Nikolskoye,RU,2022-02-05 01:33:09,59.7035,30.7861,19.29,88,99,11.95,overcast clouds
171,Staunton,US,2022-02-05 01:31:15,38.1496,-79.0717,42.24,58,100,1.99,overcast clouds
172,Kasane,BW,2022-02-05 01:33:10,-17.8167,25.15,64.49,96,98,2.91,overcast clouds
173,Diamantino,BR,2022-02-05 01:33:10,-14.4086,-56.4461,73.38,90,61,3.0,broken clouds
174,Palmer,US,2022-02-05 01:33:10,42.1584,-72.3287,30.85,86,100,3.0,overcast clouds
175,Tuatapere,NZ,2022-02-05 01:33:11,-46.1333,167.6833,59.83,52,30,7.78,scattered clouds
176,Payo,ID,2022-02-05 01:33:11,-3.7508,103.6372,72.7,99,100,2.55,overcast clouds
177,Teya,RU,2022-02-05 01:33:11,60.3778,92.6267,17.65,90,100,8.34,overcast clouds
178,Acarau,BR,2022-02-05 01:33:12,-2.8856,-40.12,78.73,82,40,10.89,scattered clouds
179,Krasnoselkup,RU,2022-02-05 01:33:12,65.7,82.4667,16.07,96,100,5.57,light snow
180,Penzance,GB,2022-02-05 01:33:12,50.1186,-5.5371,45.77,68,6,15.68,clear sky
181,Buy,RU,2022-02-05 01:33:12,58.4786,41.53,-5.89,100,100,4.94,overcast clouds
182,Tabou,CI,2022-02-05 01:33:13,4.423,-7.3528,79.29,81,19,5.55,few clouds
183,Mount Gambier,AU,2022-02-05 01:34:13,-37.8333,140.7667,73.31,46,40,12.66,scattered clouds
184,Torbay,CA,2022-02-05 01:34:13,47.6666,-52.7314,33.76,97,100,10.36,fog
185,Trentola-Ducenta,IT,2022-02-05 01:34:14,40.9754,14.1762,56.86,82,75,7.0,broken clouds
186,Talnakh,RU,2022-02-05 01:34:14,69.4865,88.3972,-6.95,97,91,4.97,overcast clouds
187,Zhanakorgan,KZ,2022-02-05 01:34:14,43.9098,67.2495,27.23,75,100,5.3,overcast clouds
188,Mackenzie,CA,2022-02-05 01:31:37,55.2999,-123.1698,35.82,87,100,11.5,overcast clouds
189,Alghero,IT,2022-02-05 01:34:15,40.5589,8.3181,50.99,93,0,2.3,clear sky
190,Saint Anthony,US,2022-02-05 01:34:15,45.0205,-93.218,4.84,69,0,1.01,clear sky
191,Tilichiki,RU,2022-02-05 01:34:16,60.4667,166.1,-1.64,73,100,9.46,overcast clouds
192,Vallenar,CL,2022-02-05 01:34:16,-28.5708,-70.7581,69.93,54,0,0.4,clear sky
193,Banff,CA,2022-02-05 01:34:16,51.1762,-115.5698,36.63,69,81,6.91,broken clouds
194,Gizo,SB,2022-02-05 01:34:17,-8.103,156.8419,85.87,72,100,14.27,overcast clouds
195,Hofn,IS,2022-02-05 01:34:17,64.2539,-15.2082,25.81,64,100,13.98,overcast clouds
196,Geraldton,AU,2022-02-05 01:31:21,-28.7667,114.6,103.12,8,0,19.57,clear sky
197,Nybro,SE,2022-02-05 01:34:17,56.7446,15.9071,35.22,82,100,12.28,overcast clouds
198,Portland,US,2022-02-05 01:34:18,45.5234,-122.6762,50.2,87,100,1.99,overcast clouds
199,Phan Thiet,VN,2022-02-05 01:31:54,10.9333,108.1,82.71,56,93,13.71,overcast clouds
200,Laguna,US,2022-02-05 01:34:18,38.421,-121.4238,62.89,41,0,3.44,clear sky
201,Melilla,ES,2022-02-05 01:34:18,35.2937,-2.9383,62.98,39,0,9.22,clear sky
202,Funadhoo,MV,2022-02-05 01:34:19,6.15,73.2667,80.96,67,53,10.47,broken clouds
203,East London,ZA,2022-02-05 01:34:19,-33.0153,27.9116,68.38,89,100,7.65,light rain
204,Alice Springs,AU,2022-02-05 01:34:19,-23.7,133.8833,74.75,41,0,6.91,clear sky
205,Puerto Del Rosario,ES,2022-02-05 01:34:20,28.5004,-13.8627,65.95,59,95,3.44,overcast clouds
206,Stornoway,GB,2022-02-05 01:34:20,58.2093,-6.3865,36.03,90,40,4.0,scattered clouds
207,Nyurba,RU,2022-02-05 01:34:20,63.2842,118.3319,-18.09,98,94,1.9,overcast clouds
208,Ostrovnoy,RU,2022-02-05 01:34:21,68.0531,39.5131,12.63,86,100,21.36,overcast clouds
209,Ponta Do Sol,PT,2022-02-05 01:34:21,32.6667,-17.1,63.12,58,92,3.76,overcast clouds
210,Lesozavodsk,RU,2022-02-05 01:34:21,45.4794,133.4244,0.43,85,92,4.25,overcast clouds
211,Vilyuysk,RU,2022-02-05 01:34:22,63.7553,121.6247,-24.32,99,62,2.91,broken clouds
212,Kodiak,US,2022-02-05 01:34:22,57.79,-152.4072,38.71,81,100,3.44,overcast clouds
213,Gladstone,AU,2022-02-05 01:31:21,-23.85,151.25,82.33,47,22,13.8,few clouds
214,Faya,SA,2022-02-05 01:34:22,18.3851,42.4509,54.12,91,22,6.02,few clouds
215,Narsaq,GL,2022-02-05 01:34:22,60.9167,-46.05,-0.89,53,0,16.4,clear sky
216,Pevek,RU,2022-02-05 01:34:23,69.7008,170.3133,-24.09,100,100,5.21,overcast clouds
217,Dunedin,NZ,2022-02-05 01:30:06,-45.8742,170.5036,60.8,45,100,4.0,overcast clouds
218,Iquitos,PE,2022-02-05 01:30:00,-3.7481,-73.2472,75.24,94,40,1.14,scattered clouds
219,Saldanha,ZA,2022-02-05 01:34:23,-33.0117,17.9442,59.05,74,0,10.33,clear sky
220,Ulaanbaatar,MN,2022-02-05 01:31:42,47.9077,106.8832,-21.87,69,16,0.0,few clouds
221,Flin Flon,CA,2022-02-05 01:30:19,54.7682,-101.865,-9.81,95,100,5.75,overcast clouds
222,Chilca,PE,2022-02-05 01:34:23,-12.5211,-76.7372,71.76,86,94,5.64,overcast clouds
223,Hami,CN,2022-02-05 01:34:23,42.8,93.45,23.79,35,100,1.81,overcast clouds
224,Kasongo-Lunda,CD,2022-02-05 01:34:24,-6.4667,16.8167,67.77,97,91,0.76,light rain
225,Yendi,GH,2022-02-05 01:34:24,9.4427,-0.0099,74.84,15,0,6.4,clear sky
226,Pyshchug,RU,2022-02-05 01:34:24,58.8873,45.7134,3.31,96,64,6.98,broken clouds
227,Bardiyah,LY,2022-02-05 01:34:25,31.7561,25.0865,50.47,76,0,11.97,clear sky
228,Ketchikan,US,2022-02-05 01:35:25,55.3422,-131.6461,44.58,87,100,3.44,overcast clouds
229,Slonim,BY,2022-02-05 01:35:25,53.0867,25.3219,32.76,98,100,10.65,light snow
230,Serenje,ZM,2022-02-05 01:34:14,-13.2325,30.2352,60.08,98,100,5.08,overcast clouds
231,Belmonte,BR,2022-02-05 01:35:26,-15.8631,-38.8828,79.3,87,100,8.39,overcast clouds
232,Havoysund,NO,2022-02-05 01:35:26,70.9963,24.6622,18.48,77,100,23.31,overcast clouds
233,Yemtsa,RU,2022-02-05 01:35:26,63.0734,40.3329,-4.05,100,74,4.74,broken clouds
234,Frontera,MX,2022-02-05 01:35:27,26.9333,-101.45,40.32,56,3,2.98,clear sky
235,Buala,SB,2022-02-05 01:35:27,-8.145,159.5921,83.48,79,100,9.01,light rain
236,Ancud,CL,2022-02-05 01:35:27,-41.8697,-73.8203,56.43,90,8,3.0,clear sky
237,Makat,KZ,2022-02-05 01:35:28,47.6469,53.3463,30.96,93,100,6.17,overcast clouds
238,Whitehorse,CA,2022-02-05 01:35:28,60.7161,-135.0538,0.01,78,75,0.0,light snow
239,Cabedelo,BR,2022-02-05 01:35:28,-6.9811,-34.8339,81.27,75,8,9.89,clear sky
240,Astaneh-Ye Ashrafiyeh,IR,2022-02-05 01:35:29,37.2596,49.9444,48.13,90,16,3.83,few clouds
241,Korla,CN,2022-02-05 01:30:54,41.7597,86.1469,25.05,46,100,5.75,overcast clouds
242,Paita,PE,2022-02-05 01:35:29,-5.0892,-81.1144,71.78,81,37,13.24,scattered clouds
243,Bom Jesus,BR,2022-02-05 01:35:29,-9.0744,-44.3586,76.28,64,99,0.43,overcast clouds
244,Sicamous,CA,2022-02-05 01:35:30,50.8331,-118.9856,33.19,98,100,2.89,overcast clouds
245,Velasco Ibarra,EC,2022-02-05 01:35:30,-1.05,-79.6167,73.49,91,46,6.46,light rain
246,Koumac,NC,2022-02-05 01:35:30,-20.5667,164.2833,81.93,81,100,13.53,moderate rain
