City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Arraial Do Cabo,BR,75.97,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
138,Hokitika,NZ,62.67,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
140,Prainha,BR,74.17,overcast clouds,-1.8,-53.48,Casa Rocha
142,Atuona,PF,78.37,scattered clouds,-9.8,-139.0333,Villa Enata
145,Cabo San Lucas,MX,69.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Angoche,MZ,73.62,overcast clouds,-16.2325,39.9086,Guest House HESADA
153,Biak,ID,83.41,overcast clouds,-0.9131,122.8766,Penginapan Kim
154,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
157,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
159,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
160,Miracatu,BR,74.16,heavy intensity rain,-24.2814,-47.4597,Hotel Van Monet
162,Itarema,BR,79.05,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
164,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
166,Monte Patria,CL,72.93,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
172,Kasane,BW,64.49,overcast clouds,-17.8167,25.15,The Old House
173,Diamantino,BR,73.38,broken clouds,-14.4086,-56.4461,Hotel Delta
175,Tuatapere,NZ,59.83,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
176,Payo,ID,72.7,overcast clouds,-3.7508,103.6372,Mess keban agung
178,Acarau,BR,78.73,scattered clouds,-2.8856,-40.12,castelo pizzaria
182,Tabou,CI,79.29,few clouds,4.423,-7.3528,hotêl doufoulougou
183,Mount Gambier,AU,73.31,scattered clouds,-37.8333,140.7667,The Commodore
185,Trentola-Ducenta,IT,56.86,broken clouds,40.9754,14.1762,Motel Annalisa
189,Alghero,IT,50.99,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
192,Vallenar,CL,69.93,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
194,Gizo,SB,85.87,overcast clouds,-8.103,156.8419,Imagination Island
198,Portland,US,50.2,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
199,Phan Thiet,VN,82.71,overcast clouds,10.9333,108.1,Hotel Saigon-PT
200,Laguna,US,62.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
201,Melilla,ES,62.98,clear sky,35.2937,-2.9383,Hotel Anfora
202,Funadhoo,MV,80.96,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
203,East London,ZA,68.38,light rain,-33.0153,27.9116,Tu Casa
204,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
205,Puerto Del Rosario,ES,65.95,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
209,Ponta Do Sol,PT,63.12,overcast clouds,32.6667,-17.1,Hotel do Campo
213,Gladstone,AU,82.33,few clouds,-23.85,151.25,Highpoint International Hotel
214,Faya,SA,54.12,few clouds,18.3851,42.4509,املاك خالد الشعشوع
217,Dunedin,NZ,60.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
218,Iquitos,PE,75.24,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
219,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
222,Chilca,PE,71.76,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
225,Yendi,GH,74.84,clear sky,9.4427,-0.0099,Eyarro Lodge
227,Bardiyah,LY,50.47,clear sky,31.7561,25.0865,بورتو بردية
230,Serenje,ZM,60.08,overcast clouds,-13.2325,30.2352,The Kabaso's
231,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
235,Buala,SB,83.48,light rain,-8.145,159.5921,Maringe Lagoon Lodge
236,Ancud,CL,56.43,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
239,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
242,Paita,PE,71.78,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
243,Bom Jesus,BR,76.28,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
245,Velasco Ibarra,EC,73.49,light rain,-1.05,-79.6167,White Room Studio
246,Koumac,NC,81.93,moderate rain,-20.5667,164.2833,Le Monitel
247,Akyab,MM,69.94,clear sky,20.15,92.9,Hotel Memory
250,Ahipara,NZ,74.43,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
251,Carballo,ES,50.02,overcast clouds,43.213,-8.691,Pazo do Souto
254,Sobradinho,BR,73.15,overcast clouds,-12.8333,-39.1,Pousada Pau Brasil
256,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
257,Balkanabat,TM,53.33,overcast clouds,39.5108,54.3671,Nebitchi Hotel
259,General Roca,AR,64.8,light rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
261,Ulladulla,AU,72.5,few clouds,-35.35,150.4667,Sandpiper Motel
